epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,135.375,0.92487,1.66124,0.8677,0.93903,0.97926,0.97444,0.6802,0.97098,0.6069,0.87196,0.000990365,0.000990365,0.000990365
43,138.395,0.8489,1.41088,0.87938,0.89902,0.97322,0.97487,0.68749,0.98522,0.64161,0.87768,0.000973861,0.000973861,0.000973861
44,141.588,0.89184,1.44545,0.86381,0.9934,0.98853,0.995,0.6622,1.01498,0.62819,0.88599,0.000957358,0.000957358,0.000957358
45,144.728,0.75967,1.08805,0.85565,0.99048,1,0.995,0.67267,0.98078,0.71985,0.87289,0.000940855,0.000940855,0.000940855
46,147.871,0.77512,1.55014,0.81026,0.93239,0.92178,0.92699,0.65642,1.00494,0.64838,0.86944,0.000924352,0.000924352,0.000924352
47,151.102,0.76907,1.1366,0.84149,0.98172,0.88166,0.93511,0.64465,0.99852,0.7112,0.86927,0.000907848,0.000907848,0.000907848
48,154.216,0.79957,1.2091,0.85055,0.98503,0.90454,0.93511,0.66284,1.00366,0.64607,0.87485,0.000891345,0.000891345,0.000891345
49,157.437,0.92584,1.19655,0.89128,0.99157,0.93171,0.93511,0.7121,0.87096,0.55284,0.85935,0.000874842,0.000874842,0.000874842
50,160.651,0.72898,1.00105,0.83802,0.92466,0.92578,0.88823,0.69089,0.8082,0.54928,0.84814,0.000858338,0.000858338,0.000858338
51,163.753,0.73356,1.18773,0.80894,0.93674,0.92631,0.88042,0.6692,0.83414,0.56905,0.83663,0.000841835,0.000841835,0.000841835
52,166.955,0.79105,1.17453,0.86919,0.8166,0.93204,0.83487,0.66622,0.79518,0.60063,0.83592,0.000825332,0.000825332,0.000825332
53,170.294,0.80958,1.07024,0.84949,0.88796,0.93571,0.88044,0.69226,0.77329,0.63697,0.83282,0.000808828,0.000808828,0.000808828
54,173.387,0.81691,1.04847,0.84943,0.87334,0.88987,0.86747,0.69241,0.7881,0.65984,0.83868,0.000792325,0.000792325,0.000792325
55,176.353,0.68521,1.06864,0.82959,0.92304,0.93589,0.88045,0.69495,0.75339,0.7233,0.83671,0.000775822,0.000775822,0.000775822
56,179.265,0.6825,0.81511,0.85804,0.88548,1,0.91839,0.6833,0.7857,0.77499,0.83171,0.000759318,0.000759318,0.000759318
57,182.433,0.75396,1.02255,0.87418,0.81149,1,0.83565,0.62272,0.77704,0.80248,0.83342,0.000742815,0.000742815,0.000742815
58,185.658,0.65841,0.88687,0.81465,0.86103,1,0.8955,0.66292,0.81585,0.66892,0.83648,0.000726312,0.000726312,0.000726312
59,188.664,0.67582,0.96206,0.83695,0.89812,0.99387,0.8955,0.66848,0.87962,0.69853,0.83908,0.000709809,0.000709809,0.000709809
60,191.793,0.62839,0.95716,0.79827,0.84839,0.95998,0.85809,0.64077,0.81338,0.86146,0.82927,0.000693305,0.000693305,0.000693305
61,194.972,0.79852,0.97666,0.81576,0.8221,0.90179,0.83465,0.62719,0.77082,0.73477,0.82738,0.000676802,0.000676802,0.000676802
62,198.174,0.6756,0.87164,0.87067,0.92604,0.91989,0.90118,0.66274,0.79882,0.51615,0.83706,0.000660299,0.000660299,0.000660299
63,201.46,0.69106,0.83845,0.86625,0.91962,0.93189,0.94465,0.71331,0.8173,0.45116,0.83453,0.000643795,0.000643795,0.000643795
64,204.542,0.73011,0.79729,0.78467,0.99609,0.9979,0.995,0.74752,0.78119,0.44722,0.83396,0.000627292,0.000627292,0.000627292
65,207.783,0.66199,0.78439,0.79766,0.89137,0.92116,0.87507,0.66546,0.76591,0.48825,0.83516,0.000610789,0.000610789,0.000610789
66,210.675,0.66342,1.02248,0.80336,0.99587,1,0.995,0.7621,0.76406,0.42845,0.84018,0.000594286,0.000594286,0.000594286
67,213.847,0.73018,0.7788,0.83313,0.99763,1,0.995,0.74972,0.76045,0.43076,0.84703,0.000577782,0.000577782,0.000577782
68,216.848,0.70546,1.09656,0.83661,0.99741,1,0.995,0.76965,0.73012,0.43397,0.8454,0.000561279,0.000561279,0.000561279
69,220.007,0.65686,0.93356,0.80821,0.98995,0.99759,0.995,0.7366,0.72391,0.42404,0.83172,0.000544776,0.000544776,0.000544776
70,222.983,0.63267,0.70688,0.85892,0.98592,0.99663,0.995,0.76521,0.69761,0.40827,0.83106,0.000528272,0.000528272,0.000528272
71,226.108,0.57667,0.8656,0.81365,0.98627,0.99635,0.995,0.77968,0.66593,0.39738,0.8292,0.000511769,0.000511769,0.000511769
72,229.221,0.82613,0.9239,0.8547,0.97797,0.93093,0.96167,0.75058,0.75844,0.43991,0.83282,0.000495266,0.000495266,0.000495266
73,232.377,0.60781,0.72634,0.83918,0.98633,0.99626,0.995,0.75808,0.75847,0.46352,0.83571,0.000478762,0.000478762,0.000478762
74,235.442,0.66243,0.8989,0.86529,0.99341,0.93393,0.95786,0.74546,0.78139,0.46154,0.8401,0.000462259,0.000462259,0.000462259
75,238.484,0.67108,0.71271,0.8379,0.98239,0.9966,0.995,0.73933,0.78484,0.46465,0.84328,0.000445756,0.000445756,0.000445756
76,241.511,0.70243,0.89411,0.81664,0.99074,0.93132,0.93946,0.73331,0.74738,0.45695,0.83073,0.000429253,0.000429253,0.000429253
77,244.634,0.80612,1.1082,0.85755,0.99064,0.93062,0.93975,0.73338,0.74751,0.46204,0.83155,0.000412749,0.000412749,0.000412749
78,247.975,0.61421,0.73002,0.84427,0.98936,0.92038,0.96026,0.77906,0.70321,0.47713,0.82554,0.000396246,0.000396246,0.000396246
79,251.131,0.6179,0.87383,0.80543,0.99201,0.92314,0.96026,0.76484,0.68299,0.42649,0.82393,0.000379743,0.000379743,0.000379743
80,254.31,0.58136,0.67844,0.84072,0.99123,0.92894,0.96167,0.74906,0.70604,0.44121,0.82612,0.000363239,0.000363239,0.000363239
