epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,83.6312,0.69131,0.6355,0.93173,0.99261,1,0.995,0.84313,0.64294,0.49762,0.93558,0.000990365,0.000990365,0.000990365
43,85.6604,0.67254,0.63331,0.94533,0.99169,1,0.995,0.86824,0.58397,0.4717,0.92118,0.000973861,0.000973861,0.000973861
44,87.6818,0.63688,0.61869,0.91928,0.99546,1,0.995,0.86131,0.57847,0.4471,0.91911,0.000957358,0.000957358,0.000957358
45,89.6689,0.64708,0.61776,0.89825,0.99125,1,0.99497,0.85171,0.57381,0.4413,0.9165,0.000940855,0.000940855,0.000940855
46,91.5102,0.67824,0.61499,0.94844,0.99125,1,0.99497,0.85171,0.57381,0.4413,0.9165,0.000924352,0.000924352,0.000924352
47,93.3876,0.62132,0.58321,0.91346,0.98135,0.99862,0.99423,0.86275,0.57924,0.47829,0.91578,0.000907848,0.000907848,0.000907848
48,95.2993,0.61353,0.58145,0.90933,0.98388,0.99563,0.99437,0.85831,0.57347,0.47368,0.91489,0.000891345,0.000891345,0.000891345
49,97.2331,0.62114,0.55763,0.91776,0.99402,1,0.99493,0.85464,0.57909,0.45287,0.92004,0.000874842,0.000874842,0.000874842
50,98.9793,0.63148,0.55612,0.93377,0.99238,1,0.995,0.86902,0.56144,0.4317,0.91644,0.000858338,0.000858338,0.000858338
51,100.906,0.6214,0.58405,0.93307,0.99353,1,0.995,0.86301,0.55556,0.42042,0.91783,0.000841835,0.000841835,0.000841835
52,102.909,0.61849,0.55286,0.94066,0.99322,1,0.995,0.85789,0.57877,0.45548,0.91563,0.000825332,0.000825332,0.000825332
53,104.825,0.60981,0.55064,0.92468,0.99278,1,0.995,0.84887,0.60957,0.47034,0.92354,0.000808828,0.000808828,0.000808828
54,106.65,0.63219,0.55891,0.90873,0.99278,1,0.995,0.84887,0.60957,0.47034,0.92354,0.000792325,0.000792325,0.000792325
55,108.627,0.61607,0.5748,0.92992,0.99799,0.99538,0.995,0.86837,0.58415,0.44783,0.91373,0.000775822,0.000775822,0.000775822
56,110.574,0.6194,0.56082,0.9076,0.99801,0.99796,0.995,0.85806,0.56801,0.42633,0.91639,0.000759318,0.000759318,0.000759318
57,112.453,0.59703,0.54878,0.92041,0.99823,0.99993,0.995,0.86692,0.56073,0.42255,0.9169,0.000742815,0.000742815,0.000742815
