epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,158.179,0.82979,1.06657,0.83132,0.97774,1,0.995,0.71751,1.105,0.54764,0.84758,0.000973861,0.000973861,0.000973861
44,161.656,0.91088,1.31972,0.85809,0.98542,1,0.995,0.70921,1.07143,0.54779,0.85343,0.000957358,0.000957358,0.000957358
45,165.522,0.72718,1.01929,0.83083,0.98075,1,0.995,0.72008,1.05033,0.58381,0.8448,0.000940855,0.000940855,0.000940855
46,169.17,0.90403,1.21937,0.85712,0.98148,1,0.995,0.70602,1.06844,0.58369,0.85119,0.000924352,0.000924352,0.000924352
47,173.013,0.74955,1.03069,0.82839,0.98472,1,0.995,0.68658,1.08222,0.59112,0.86794,0.000907848,0.000907848,0.000907848
48,176.555,0.99663,1.26843,0.83882,0.98637,1,0.995,0.67637,1.11119,0.70799,0.86346,0.000891345,0.000891345,0.000891345
49,180.442,0.87149,0.96058,0.86402,0.98496,1,0.995,0.68811,1.07676,0.72319,0.85609,0.000874842,0.000874842,0.000874842
50,184.065,0.80272,1.30684,0.754,0.98821,1,0.995,0.68156,1.13177,0.67205,0.8658,0.000858338,0.000858338,0.000858338
51,187.645,0.87124,0.9344,0.8765,0.97741,1,0.995,0.69988,1.1309,0.5801,0.85996,0.000841835,0.000841835,0.000841835
52,191.485,0.75203,0.98468,0.84097,0.95653,0.98722,0.995,0.71226,1.00133,0.52185,0.8478,0.000825332,0.000825332,0.000825332
53,195.134,0.89274,1.21098,0.81645,0.97162,1,0.995,0.72103,1.06127,0.60252,0.84902,0.000808828,0.000808828,0.000808828
54,198.939,0.91834,0.97717,0.87324,0.98077,1,0.995,0.70888,1.07597,0.66809,0.84568,0.000792325,0.000792325,0.000792325
55,202.557,0.89349,0.88939,0.82272,0.98428,1,0.995,0.69243,1.16083,0.68682,0.8532,0.000775822,0.000775822,0.000775822
56,206.309,0.91465,1.22032,0.82921,0.96886,1,0.995,0.71475,1.115,0.54956,0.8449,0.000759318,0.000759318,0.000759318
57,210.101,0.86812,1.13032,0.79895,0.96356,1,0.995,0.72596,1.07533,0.55767,0.84449,0.000742815,0.000742815,0.000742815
58,214.019,0.81466,0.94415,0.80866,0.97383,1,0.995,0.72828,1.02152,0.54306,0.8428,0.000726312,0.000726312,0.000726312
59,217.709,0.81679,0.9623,0.84444,0.98175,1,0.995,0.70574,1.0686,0.56658,0.84546,0.000709809,0.000709809,0.000709809
60,221.325,0.78341,0.81215,0.79799,0.9846,1,0.995,0.73438,0.96142,0.557,0.8278,0.000693305,0.000693305,0.000693305
61,224.875,0.78738,0.93077,0.81027,0.98861,1,0.995,0.73959,0.96416,0.55977,0.83032,0.000676802,0.000676802,0.000676802
62,228.53,0.93382,0.94944,0.83573,0.99024,1,0.995,0.72264,1.00737,0.56754,0.83602,0.000660299,0.000660299,0.000660299
63,232.191,0.91725,1.15813,0.82831,0.99259,1,0.995,0.71348,1.03454,0.60944,0.84271,0.000643795,0.000643795,0.000643795
64,235.677,0.8099,0.70563,0.84875,0.99242,1,0.995,0.72813,1.04194,0.60809,0.84164,0.000627292,0.000627292,0.000627292
65,239.427,0.61174,0.65983,0.83861,0.98945,1,0.995,0.72784,1.01278,0.60788,0.83537,0.000610789,0.000610789,0.000610789
66,242.994,0.78586,0.90762,0.79625,0.98932,1,0.995,0.7343,1.06196,0.60632,0.84037,0.000594286,0.000594286,0.000594286
67,246.583,0.75565,0.85472,0.80262,0.99223,1,0.995,0.71582,1.06733,0.56685,0.84554,0.000577782,0.000577782,0.000577782
68,250.49,0.75084,0.79814,0.79913,0.99224,1,0.995,0.70702,1.11585,0.54662,0.85673,0.000561279,0.000561279,0.000561279
69,254.091,0.74993,0.91997,0.78507,0.99173,1,0.995,0.70449,1.07002,0.52807,0.84642,0.000544776,0.000544776,0.000544776
70,257.604,0.74765,0.76098,0.81109,0.99137,1,0.995,0.714,1.01454,0.50491,0.83983,0.000528272,0.000528272,0.000528272
71,261.227,0.8462,0.83175,0.82894,0.95191,0.96154,0.96143,0.74766,0.93706,0.47356,0.83049,0.000511769,0.000511769,0.000511769
72,264.964,0.80653,0.76039,0.82339,0.95229,0.96154,0.9601,0.74364,0.93149,0.48699,0.83141,0.000495266,0.000495266,0.000495266
73,268.665,0.7904,0.8331,0.80805,0.99217,1,0.995,0.76315,0.97197,0.46729,0.82991,0.000478762,0.000478762,0.000478762
74,272.206,0.67709,0.73609,0.81603,0.99275,1,0.995,0.7626,0.96808,0.45485,0.83317,0.000462259,0.000462259,0.000462259
75,275.872,0.82903,0.71031,0.86199,0.99481,1,0.995,0.78206,0.87496,0.46293,0.82833,0.000445756,0.000445756,0.000445756
76,279.406,0.81357,0.86563,0.82806,0.99439,1,0.995,0.76497,0.89587,0.46877,0.82383,0.000429253,0.000429253,0.000429253
77,283.068,0.70194,0.66035,0.8143,0.99301,1,0.995,0.78368,0.89263,0.50076,0.82496,0.000412749,0.000412749,0.000412749
78,287.075,0.70066,0.63604,0.84314,0.99204,1,0.995,0.76788,0.9049,0.47489,0.82498,0.000396246,0.000396246,0.000396246
79,290.657,0.72482,0.7706,0.79984,0.98575,1,0.995,0.75406,0.92957,0.46543,0.83327,0.000379743,0.000379743,0.000379743
80,294.461,0.8979,0.92888,0.81301,0.98522,1,0.995,0.75222,0.9421,0.46123,0.83772,0.000363239,0.000363239,0.000363239
81,297.984,0.66357,0.84648,0.741,0.9886,1,0.995,0.76931,0.94243,0.50054,0.8347,0.000346736,0.000346736,0.000346736
82,301.772,0.76806,0.70767,0.83844,0.99164,1,0.995,0.74631,0.97812,0.52291,0.83272,0.000330233,0.000330233,0.000330233
83,305.23,0.67224,0.60555,0.82341,0.99119,1,0.995,0.72651,1.01467,0.52925,0.83189,0.000313729,0.000313729,0.000313729
84,308.789,0.67435,0.80775,0.81291,0.98834,1,0.995,0.74396,0.99026,0.49405,0.82961,0.000297226,0.000297226,0.000297226
85,312.386,0.79428,0.70987,0.82476,0.98525,1,0.995,0.77624,0.91244,0.46865,0.8273,0.000280723,0.000280723,0.000280723
86,316.104,0.76824,0.78818,0.81319,0.98451,1,0.995,0.7797,0.87988,0.46496,0.82694,0.00026422,0.00026422,0.00026422
87,319.87,0.68374,0.78743,0.76235,0.98455,1,0.995,0.77535,0.85175,0.45183,0.82402,0.000247716,0.000247716,0.000247716
88,323.576,0.70979,0.64102,0.79103,0.98776,1,0.995,0.77693,0.86623,0.4439,0.8276,0.000231213,0.000231213,0.000231213
89,327.476,0.7832,0.73285,0.81318,0.99007,1,0.995,0.77236,0.91151,0.44692,0.82911,0.00021471,0.00021471,0.00021471
90,331.34,0.74292,0.72705,0.81535,0.99104,1,0.995,0.74756,0.90312,0.44467,0.82677,0.000198206,0.000198206,0.000198206
91,365.116,0.6728,0.75975,0.80449,0.99203,1,0.995,0.74484,0.95608,0.49487,0.82575,0.000181703,0.000181703,0.000181703
92,368.886,0.72247,0.9074,0.78665,0.99231,1,0.995,0.74309,0.97075,0.50412,0.82817,0.0001652,0.0001652,0.0001652
93,372.836,0.7171,0.76789,0.83992,0.9905,1,0.995,0.75371,0.95048,0.47158,0.82927,0.000148696,0.000148696,0.000148696
94,376.685,0.82815,0.93981,0.82101,0.9892,1,0.995,0.76634,0.94222,0.46352,0.83019,0.000132193,0.000132193,0.000132193
95,380.185,0.79841,0.88268,0.8564,0.988,1,0.995,0.77135,0.87832,0.43985,0.82518,0.00011569,0.00011569,0.00011569
96,384.105,0.66958,0.86977,0.77854,0.98653,1,0.995,0.78019,0.85155,0.4229,0.82384,9.91865e-05,9.91865e-05,9.91865e-05
97,387.71,0.69653,0.79055,0.78397,0.9855,1,0.995,0.77734,0.82779,0.42327,0.82114,8.26832e-05,8.26832e-05,8.26832e-05
98,391.353,0.73891,0.75551,0.80808,0.9866,1,0.995,0.78134,0.8236,0.41797,0.8197,6.61799e-05,6.61799e-05,6.61799e-05
99,395.184,0.76054,0.81408,0.79161,0.98697,1,0.995,0.77517,0.84391,0.40949,0.81957,4.96766e-05,4.96766e-05,4.96766e-05
100,398.769,0.69102,0.77214,0.83777,0.98798,1,0.995,0.78945,0.83324,0.40526,0.82004,3.31733e-05,3.31733e-05,3.31733e-05
